期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库,期刊URL,URL校验状态,URL审核原因
Trends in Ecology & Evolution,TRENDS ECOL EVOL,1/194,1/201,0169-5347,1872-8383,Ecology; Evolutionary Biology,55465,17.8,Q1,3.53,42.88,SCIE,https://www.cell.com/trends/ecology-evolution/home,,
Trends in Endocrinology & Metabolism,TRENDS ENDOCRINOL METAB,.,.,1043-2760,1879-3061,Endocrinology & Metabolism,13442,10.6,Q1,1.39,29.79,SCIE,https://www.cell.com/trends/endocrinology-metabolism/home,,
Trends in Genetics,TRENDS GENET,17/319,26/328,0168-9525,1362-4555,Genetics & Heredity,12703,10.9,Q1,1.08,33.5,SCIE,https://www.cell.com/trends/genetics/home,,
Trends in Immunology,TRENDS IMMUNOL,.,.,1471-4906,1471-4981,Immunology,14067,16.5,Q1,1.64,25.15,SCIE,https://www.cell.com/trends/immunology/home,,
Trends in Microbiology,TRENDS MICROBIOL,12/319,7/328,0966-842X,1878-4380,Biochemistry & Molecular Biology; Microbiology,21555,18.7,Q1,1.65,33.06,SCIE,https://www.cell.com/trends/microbiology/home,,
Trends in Molecular Medicine,TRENDS MOL MED,15/319,8/328,1471-4914,1471-499X,"Biochemistry & Molecular Biology; Medicine, Research & Experimental",15407,18.1,Q1,1.46,31.13,SCIE,https://www.cell.com/trends/molecular-medicine/home,,
Trends in Neurosciences,TRENDS NEUROSCI,9/320,9/330,0166-2236,1878-108X,Neuroscience,24033,15.7,Q1,2.06,34.91,SCIE,https://www.cell.com/trends/neurosciences/home,,
Trends in Pharmacological Sciences,TRENDS PHARMACOL SCI,7/278,7/282,0165-6147,1873-3735,Pharmacology & Pharmacy,14205,13.1,Q1,1.94,33.31,SCIE,https://www.cell.com/trends/pharmacological-sciences/home,,
Trends in Plant Science,TRENDS PLANT SCI,8/265,8/271,1360-1385,1878-4372,Plant Sciences,21011,17.3,Q1,2.19,33.76,SCIE,https://www.cell.com/trends/plant-science/home,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
