source,target,edge_type,weight,metadata
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_7160e82964d3,paper_reports_finding,1.0,{}
finding:E_7160e82964d3,mechanism:REM_NREM_switching,finding_supports_mechanism,0.198,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_788693d50346,paper_reports_finding,1.0,{}
finding:E_788693d50346,mechanism:white matter integrity,finding_supports_mechanism,0.198,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_b6f5ffc182c3,paper_reports_finding,1.0,{}
finding:E_b6f5ffc182c3,mechanism:limbic structural vulnerability,finding_supports_mechanism,0.198,{}
mechanism:limbic structural vulnerability,variable:hippocampus_volume,mechanism_measured_by_variable,1.0,{}
variable:hippocampus_volume,modality:MRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_fb1305c99b1c,paper_reports_finding,1.0,{}
finding:E_fb1305c99b1c,mechanism:limbic structural vulnerability,finding_supports_mechanism,0.308,{}
mechanism:limbic structural vulnerability,variable:hippocampus_volume,mechanism_measured_by_variable,1.0,{}
variable:hippocampus_volume,modality:MRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_7408b183df25,paper_reports_finding,1.0,{}
finding:E_7408b183df25,mechanism:REM_NREM_switching,finding_supports_mechanism,0.308,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1523/jneurosci.5254-14.2015,finding:E_539694d13c25,paper_reports_finding,1.0,{}
